text,label
nigger cancer,1
user happy bday slut whatchu day,1
man hate nigger,1
hop sing jew yes bet looked jew play part came conclusion find jew fit role okay let u get gook minimum wage,1
yid endicted yet arrested,0
ima bitch admit,0
rafiullah shaheed young man levi force shot dead unknown men muslim bagh levy officer killed bomb blast lashkar gah sunday militant also killed day three people including mullahaniyev killed chaman,0
sabine wren raging queer,0
nigger saved uk,1
team name washington warhogs team color red white blue team location washington dc team president anybody bruce allen,0
nigga flexing jewelry one trynna get discount dollar tree smh,0
microchip nigger cock kfc urinal chicongo mlk day,1
im wearing white pant look like faggot,0
overthink kill happy,0
user user user user user else expect jihadi terrorist country,0
god bless james earl ray putting nigger mlk save white girl rapist cock maga,1
user one two thing happening number girl raped misplacing pain number girl insanely jealous kaitlyn based biology degree dig thinking one,0
fucking ulgly as bitch as stinky as bitch as nigger slave nigger teacher faggot peace shit suck dick,1
god made nigger made night made hurry forgot paint white,1
user slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hick republican party,0
user user one inayah retarded faggot rather porridge reason u numpty big gay,1
user user great poet,0
pakistani moslem link terrorist want stop white christian head state another country visiting european country mother born,0
next kike,1
muzzies black church always given pas primarily help conservative church silent political issue fear losing c status,1
mean conservative saint ronald reagan gave amnesty million mexican another chink armor,0
vote number genocide arab nigger scum raping woman killing people destroying europe also include traitor support destruction people ancestral homeland white power,1
moslem terrorist tactic attack woman attack men come help like first explosion cause casualty secondary explosion cause casualty medical responder onlooker stay safe always help carry conceal,1
well air force thought dyke plumber bitch ya go opinion like asshole,1
sister sheboon friend melissa apparently dating blonde dude,1
bbi end circle violence tension every five year bring,0
ya nigga ever say bitch yo friend better believe,0
common blacked get em high,0
user milky spore think mole milky spore kill food source grub,0
nigga parrot,0
tired corporate america number year old feel like bitch number year,0
someone took fucking dyke pin going kill,0
lol get load kike,1
pls call coon impoverished blks living brink clowngressional bleak carcass cbc use every avenue distract cowardly performance,1
tarique fucking actor,0
user bernardo white honky,1
user user user like authocratism chinese facists would like fly shit,0
raped jew bombed dave,0
user let see retweeted called weirdo ur clearly talkin unless u side tweetin like faggot one,0
keep finding bitch stanning like number max,0
anna acting like black,0
whyte men workout switch harder woman ol jiggly booty,0
sophomore high school aos wanna bring shit charge scheme as little girl,0
bitch real life weirdo,0
trust karma bitch,0
date date office refugee resettlement received total number allegation sexual abuse sexual harassment government funded detention facility number referred justice dept,0
user please twist matter indian muslim would thrown muslim refugee would shown door muslim number country go hindu one india see context,0
chink salivates salamander cry extinction,1
user user user user user follow thread many people know difference illegal immigrant refugee asylum seeker etc,0
user difference illegal muslim refugee rohingyas muslim please talk sense,0
user need potassium eat banana fucking nigger,1
user woman beauty went woman instagram page wrote disgusting comment nearly every pic woman posted saying white melanin ew ugly need son regarding baby saying grand kid trailer trash etc,0
none hoe want get waist snatched hurd,1
honestly man guy nigger faggot,1
old dude opened sauna door stared number second walked away close door faggot,1
there dead silence fuck niggaas,0
user club diego tho stripper pole stripper hoe,0
throwing hoe,0
ah shit forgot sheboon stole idea white person made god black woman completely fulfilling stereotype come anything steal everything,1
make word nigger great make racial slur great dad told u bedtime story w bad guy jip jap jigaboo jones mom german grandmother w german accent always called black darky jew jewish shyster user pc terminology part brainwashing,1
pakis favorite clothing brand jihadidas,1
security council united nation colonialist power always ensured division occupation muslim land assisted others,0
amber guyer shot man place bitch got deserved justice botham jean,1
negress dumb fuck scant chance understanding anything beyond size dick,1
every barber shop slut one nigga go barber get haircut sense barber loyalty slut,0
fuck kike cunt say thing good sticking cock throat talk,1
user everything rape culture toxic disagree view hold hope get raped,0
people shithole country coming,1
user country reveal method capability trump although doubt australian pm would tempted loathe shiny white as know gone soon enough without help,0
rationale see trump firing prosecuting rosenstein little kike pocket bad idea,1
user rape culture culture sickening unfortunately non higher ups understand white male never face anything,0
people getting pissed evil muzrat cult gov complicity,1
wonder fatso dinner today lollers roanna fish pie think,0
angry bald dyke,1
really want jack gay msm cognitive dissonance need see dindu homo violence episode drop leaflet chicago splaining gay fond carrying fat roll cash one day medium queer wake log cabin question,1
user let see smelly kike composed tweet whose name visible photo world awaits lynching relish,1
found another degenerate pushing smut gab joke actually promoting smut porn user degenerate diversity kike hiding behind patriotism easily fooled,1
washed white shoe clean bright,0
user nice burner account nobody name kid edwina unless georgia trailer trash,1
isaac newton alan turing leonardo da vinci florence nightingale alexander great william shakespeare oscar wilde julius caesar abraham lincoln michaelangelo virginia woolf fucking zeus queer degree lgbt excellence,0
un merce censored another white bitch trying look black possible,1
like brazil many descendant west africa social construct label classification ruined many people falsely self identify white even know abt native land b c bum as caucazoids aka caucasian,1
going right white boy raleigh,0
fuck hoe,1
year get r kelly fidduck sick nigger,1
sesso gratis mature sexy celeb foot free big movie lokal saxy video white halter bikini top,0
woman actress clever enough paid grace,0
spice golden capricorn reduce white root sun nut sunflower powder fluro grey nut fluro sun set powder,0
hispanic immigrant dad literally wholesome raised show emotion showing smallest thing kid purest thing,0
tell nigga fucking hit u become bitch boy,0
nigger blow mind,1
bitch gay make dyke,0
nigger true snake charmer,1
wanna start twitter beef white christian mom,0
user obama black mulatto white mother anything case racism caucasian mother thrown side barry treated like lion king moral compass jimmy swaggart special edition compass,0
love idea feminism corrupted woman hating thought housewife like half dyke know shut one day living farm gf,0
look fuck fuck plane flew fuck shoe fuck sock belt fuck yo gay as fairy faggot accent,1
everyone using duck duck go search engine track globalist queer ix quick good search result always great also using brave firefox tor browser boycott silicon valley boycott globalism,0
user literally one care oh look got white person complain wow good job,0
user got raped alien,0
user dead fucking hate,0
user mr levin legal action president take stop harassment,0
user also throw support ira violence racist comment white people blind support bolivarian economic farce stupid gift keep giving,0
money say kid beaner another money say driver beaner,1
twitter full tween dyke think superior everyone muh oppression news flash one give shit,1
remember quiet every pres left use obongo nigger think white guilt work obey obey taught school gov medium obey,1
lowlife msm trying link guy rammed van moslem nrth londonistan tommy robinson britain first well linking anti moslem patriot brain percent uk,1
user user user user aware religion say allowed exist aware religion say think girl religion except islam forbids homosexuality,0
think spic mexican think right think smart,1
family crest fucking dragon bitch,0
user user user user kick raghead america,1
sobbing declare everything queer representation disney pointing bat owl gay,0
used condemn liar criminal conmen tax avoidance philanderer corruption collusion pollution deadbeat parent thief violence threat etc etc thing quite liked thing back day opinion mattered brexit britain,0
nice idea doubt jewish gf back h used say jew nigger turned inside neither ever satisfied give jew teeth want eye,1
guy germany u men america gonna man crusader musloid bullshit totally unacceptable,1
believe contract got renewed another number month lol also mean working christmas super gay,0
queer lezzies overstepping boundary end closet threshold,1
wonder nigger bullycided giving dick lol deal widow great,1
rapture theology tightly interwoven idea rebirth israel inoculated nearly every non mainline protestant denomination anti semitism meanwhile mainlines infiltrated currently obsessed muzzies trannies xianity collapsed,1
user switch like faggot,1
ok twatter time may rusty leftist kike trolling actually gotten worse quality year ago,0
user speaking part maybe others older white also ci gay man lesbian loved indigo girl since number recently saw along w mary chapin carpenter joan baez charlottesville four voice number year ago,0
user fine whatever fuck,0
user screaming racial slur sexual harassment towards woman comic calling slut talking shit gay using faggot went go use restroom got altercation outside pissed gender neutral bathroom,0
muzrat gov never allow brexit,1
number communist nigger journalist number windstorm trump caused terrible wave hate apparently almighty trump control weather bernie supporter,1
fakebook suspended number day insulting rosie odonnell calling trump mentally insane worth number day still man hating fat dyke rosie lol,1
excuse people nigger buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie nigger nigger make fucking sick,1
user ugly kike cunt keep showing timeline,1
disappointed super bowl game shot number coon possum coyote fox millionaire non mangy coyote fox coon ornament gamo whisper brain junker number yard,0
ricky vaughn us anonymity say word nigger faggot without repercussion many people gab love lol,1
percent nigger get shot police america deserve never conflated white get shot incompetent number iq nigger diversity hire cop,1
yes queer self righteous let included originally gay pedophile community working together nambla started gay men liked boy subset pedophile member assuming nambla still exists,1
muzrat trash call everyone racist,1
catholic church since preacher frankie took catholic church cemetery italy nativity scene displayed every christmas decade preacher decided displayed might hurt muzzie feeling top commandment gospel witness,1
ali became mudslime avoid draft ask offspring twatter time daddy ensured genitals mutilated accordance mudslime law burqua worn received answer,1
bex bailey raped number yr age number yr old girl rotherham raped number paki muslim labour voter labour held council labour protected rapist liz kendall mp mp disgust core need destroying,1
dyke haircut dat bod tho,1
dream one day little black boy girl holding hand little white boy girl martin luther king jr,0
user five woman hung back constituent begged support impeachment user user user user took brunt harassment medium gop leader woman color five white woman followed eventually,0
user well halloween fuck,0
anybody watching tucker carlson right fucking beaner country since number year old still cant speak proper english fuck sake make want pull hair,1
probably put nsfw also safe home actually safe normal white people sheboon manages lose clothes fight mystery going watch solve happy,1
hillary degenerate one dyke another,1
pussy self worth grammatically sound proper editing perhaps get read without using little brain decipher really impress little kike minded subversive like peace tho trumpowitz ironical ironybro faggot,1
q nigger medium domino pizza common feed family number user,1
good riddance bad nigger garbage,1
butthurt faggotry make want join twp spite queer,1
saint sir adolf lied person history financial political kike reason alt right history lesson,1
white nationalist picture world town white school white world white dream one day live white world little white kid play white kid nigger back africa,1
fucking white bread crust taken smushed little ball hogdiggedyddmon keanu reef pig,0
harry kane fucking fanny foriegn commentator would going bad diving game absolute wanker,0
went freedom city watch golola moses fight thailand nigga ssebo knocked number sec,0
search surugaya one wamujaku doujin want sadly close tab cuz,0
swear nigga female,0
wow someone drinking water wow queer as homoerotic anime man drank water jojo reference stand cannot fucking stand retard,0
really october car number degree got work fucking hate boomer u ruined planet robbed u fall die already fuck,0
user coming rag head le,1
silver medicine pant skrt nigger as clap,1
anyway justine called max slur justine cancelled max free dyke,0
followed follow back fuck got suspended know faggot,1
seriousness probability moslem men attending million woman march sexually assaulting hope wrong,1
white boy like wyd said work swear god asked wearing said work uniform,0
wishing happiest birthday favorite crackhead user love u bitch,0
knew wade gay,0
luke ford mission infiltrate altright prove kike conversion bona fides,1
better kill kike first,1
user work several day year support illegals kid nigger baby government school big advocate homeschooling responsible white parent never allow kid attend institution,1
user agusta main texes state live tossa people want catch scared little nigger,1
bill clinton evil creature um maybe slick mussie rapist time,1
user user user pasty white as need real tho heather u ur hubby join u next time make pftpm posse remote meer,0
user user user user imran khan entire p gistan jihadi radical islamic terrorist supremacist nation full jiahdi terrorist radical terrorist p g,0
user user user user user user user user excluded hindu refugee economic muslim migrant hindu killed raped forcibly converted pakistan bangladesh entire nrc farce,0
user white people made illegal rape woman welcome,0
nigga like get away shit u missed whole fucking point raped woman telling woman warn thats wrong tf shit really irks,0
user user courtney love see picture obama together year meant ask bombing number muslim country destroying number,0
considering queer extent neurodivergant realize possibility could target violence though make mistake right white bisexual man much lower chance assault say black trans woman,0
user drive white as dallas new york stand right justice botham jean amber guyger murder trial life prison,0
user could quit laughing yesterday white cucks bass boat risking life save nigger mexican seriously fuck cucks fuck brown people fuck non texan moved oh fuck nigger mayor,1
offended nigger faggot kike spic chink gook cracker,1
saw used go name joker twitter pretty sure come across paki creature passing ban he popular,1
happens little adam way smarter fat dyke lib teacher,1
sacrifice must made agree screw newport smoking fatass mudshark ugly mama,1
biggest unforced cultural error last year couple ugly dyke suing christian bakery refusing make gay wedding cake potential wedge trump religious right healed nice work lady trumpslide meme war maga,1
libtard setback moslem refugee ban tell trump need corrected fucking thing american people scalia replacement named back ban,1
ellen page play lesbian suffragette sunday time calling best queer film since happy together,0
user never seen fabricates white harassed breaking news country neighborhood one white lady pressed serious charge black boy harassment much investigation found lying breakingnews,0
right faggot post bantzing beaner get much engagement take piss nigger kike get silent sudden,1
excited dam bitch,0
ho keep sayin dior bitch flood saint laurent,0
nigga rob said drum flat proud bleu cheese advocate let boy talk crazy bout food smh,0
free viewing ghost bait whoever charge travel channel catch wind,0
retard questioned good cop sidekick bad cop,1
user removed last time threatened making law people brown people black people gay people female people sick people poor people homeless people refugee people important protecting democracy people user,0
user user coming someone find necessary kill cow country name global warming,0
user take right away one time banning lgbt right going back white segregation etc evangical base trying take america bad bad need stopped,0
owe hillbilly aggy serious as whipping serious one,0
user user skinny oppressed ok acting like white people start saying blm,0
gonna loud ig rapist stick woman yet raped abused multiple woman including told mr crazy ex hate pick fucken side sick fuck,0
user like someone say nigga cool bc song fuck w black ppl piss calling nigger,0
redneck stuff damn hillbilly ppl,1
shalom aussie goy name gladys berejiklian call armenian fact ratfaced kike looking implement communism country like gallah beak,1
first white president since going skin color obama first nigger president let return good old time,1
islamic holy violence prior number retard slav nigger,1
depeche kike personal hitler remastered video,1
sadiq khan london moslem mayor warns tory police cut mean future terror attack likely police cut make terror attack likely moslem uk make terrorist attack likely,0
know time moslem woman walk men,0
user nope praying dont new nigga bitch time get,0
refugee white homeland worth gold israel ask trump kike truth fear investigation low wage worker destroy america labor market still vote goy,1
epitome stupidity could beat kike vermin alone last time time goal wait fight kike vermin alone lose strategic sense hitler moron,1
user exactly way bitch uncultured filth,1
user user yes even radical muzzies planning take america number running office number congress support muslim brotherhood stupid would vote socialism screw dems,0
new york say illegal alien fined money number attacked raped illegal alien crime call ice hm kinda fucked american new york,0
egyptian number bc like omg gonna wear today open closet full white linen lmfaoo,0
user dialogue sound like something black people would say white,0
user know get girl look like bitch let silent bitch always buy shit suck get twitter feed queer,1
ive never understood everty moslem expelled number number,0
user concern queer theory school homophobic account,0
mom produce section supermarket point general direction speaks mandarin want ching chong know said start guessing everything sight mushroom pumpkin went picked pineapple,0
user dude got number million vote much press seems think white trash nazi trying bring back segregation dumb,0
muzzies world combined,1
another white person caucasity talk trow hand,0
user well technically referring white bitch go get ok,0
user yeah fuck white devil,0
think bf knew getting relationship cause shoot white as keep leaving read,0
user user poor bugger perhaps raped beaten child,0
user remember ebola american news white people got scared even close africa,0
banned remember white boy,0
know hard queer lgbt community generally positive vibe everyone,0
remember vontaze burfict almost killed nigga ab field wit hit,0
watching rugby game entire team long hair feel antithetical dyke ethos,1
greedy man always eye wife pot cameroonian african proverb,0
gonna said offered let playboy number maybe ready kike whose make make look like neanderthal painted shemale rodeo clown user,1
lol user think dothead kike lol,1
lol user think currynigger monkey cow elephant worshipping streetshitters taking world lol currynigger riding white man dick thank u come,1
showa time fucking kike,1
user ian timing opinion nigger cock sucker therefore invalid number kk,1
think dolphin form nigga,0
white gurl liked chocolate dick,0
bitch w big tit as built like improper fraction,1
user user lindsey tweet post something dumb get dragged,0
old man one asshole liked fight lol knowing fight may save gun nigger pack attack let u go thru school without worrying sum bitch,1
user remember saying nazi fine people say wish absolute bullshit,0
folk wana greedy today ama start da program twitter da first nigger retweet dis go win free cup shit eat ok go,1
titty job prolly foo shit bitch could,1
user called hour ago kike rat would reply calling either part time shit tier jidf making extra shekel lol sending best yet,1
user want punch trudeau muslimes,1
way see white evil war white sall good rich nigger rich,1
christian commanded come separate muzzies christian cannot co exist muzzies want kill everybody time somebody got go,1
nigga whoever want tweet got remember online dating,0
white powder must sodium percarbonate,0
user chinaman satanist lee hsien loong biggest coward criminal keep chattering audibly number number wellington circle singapore arranging biggest racial violence world ever seen drug addict pseudo terrorist might employed talk uk citizen,1
never forget one coworkers looked dead face asked wash hair hair braid mean wash small dick white bitch,1
defending dumb shit creating illusion somehow care raised mormon kike born mormon family oblige retard level logic add dumpster fire,1
user user ching chong literally xenophobic expression dizzy,0
average white iq number average asian iq number average african iq number nigger inferior stock would say old day would mix spic unless kind pillaging operation beyond,1
percentage manufacturing crime sends rightabout devil moneylender gave reuben j great strawcalling really call dirty jew power judge crusty old toper,0
user trynna make non gay offensive slur lol call non gay faggot faggot got bitchassness feel,1
user agree bully democrat user also bully tv state qoute need queer harassment user bully high school harassed everyday word would said need wtf,0
sometimes wanna hit girl like remember many nigger already like hell naah,1
instant mute creeping tl total kike behavior,1
useless bitch sad,0
al iaquinta remember name ravioli nigglet winning belt,1
gab fam leaky weiner speak freely dont think nigger obama pardon crooked old lady kidding classifiedinfomatters,1
fucking hate saturday work number hr emotionally draining shift helping annoying as white ppl hate sunday brain melt listening football coverage blasted full volume time time,1
user mean look sickening look roseanne blame,0
god way testing break white boy rule,0
user user user want white ethnostate think holocaust didnt happen jew globalists control everything,1
nazi kike jew term invented inbred schizoid kike rat called national socialist number gorillion gassed world would much better place,1
user btw need number people friend left fat white as,0
getting foundation white christian dior collar,0
user user seriously rich white christian male faction,0
leftie moron suck fascist moslem cock oh irony hypocrite,1
know trying commit white genocide f ing jew f ing muslimes want kill christian jew atheist hindu budhists submit psycho cult part kill understand,1
got thrown fancy hotel hollywood blvd minute ago told valet nigger could put feeling attitude successful evening although sure wife disagree get home,1
allowed anglo hating p e trudeau shove french throat canadian qc persecuted anglos fast tracking moslem migrant france former colony n africa number result nd gen moslem terror aka number mtl massacre,0
feminist bbc said royal air force need create safe space woman report unwanted sexual advance think soon realize real unwanted sexual advance female pilot ever shot moslem country,0
cnn denies staging moslem anti isi hoax way bill clinton denied sexual relation monica lewinsky,0
saw post earlier also saw also alah ackabar bullshit instagram pulled friend moslem liberal moslem antfia,0
asked number year old pewdiepie using nigger word video reply care agreed sentiment congratulated common sense,0
charlottesville intended impact one died one arrested neighborhood burned police car torched store looted brick rock throwing police dindunuffins dindunuffin liquor store intact non event antifa blm baltimore provide much lively target,0
like number used stick wipe wet dog turd little toddler nigger girl laughed hard omg,1
chris mad paki christian piccalioni want hear shit however user willing show willing co host see guy say hit u piccalioni,0
course muzrat actually look like rat trying cause trouble brexit marcher blamed trouble ban put future brexit free tommy march,1
user mean wypepo dindu nuffin damn,1
cant wait form rightwingdeathsquad mate lynch obnoxious sheboons black friday,1
rape victim laughing make joke rape mean raped number number,0
see gook gene,1
shipyard workin nigga irritating hope get fired bitch,0
new one groovin gitmo krusin kenya gay know clap hand treason reason,0
user surely like suck conor ball fucking faggot,1
wanna fake nonchalant know nigga hurt,0
shoutout voltron cosplayers wagaya guess,0
time reach age start hating muslim dont know might told myth fake narrative whatsapp forward muslim invaded captured raped hindu woman subjugated,0
classroom edition number jackee number number si ching chong number junel number nd last number hmm richardd number hmm number sanchez question,0
obligatory reminder talk dyke buying car next hyde war user,1
user house negro always first defend master white dic good user,0
user user user vanilla isi thug engaging targeted harassment exposing truth jewish participation white supremacy backed jewish publication author truth anti semitic descendant slavetrading colonizer wish sustain impunity,0
white men black men would amazing ally white men superiority complex include bm cause bm definitely superiority complex woman queer people community one big intolerant violent group,0
user fucking hate always,0
oh boy finally want sew happy intrusive thought kill wh brain demon yeah everyone hate dude time go bed,0
god dam nigger biches ugly as fuck,1
saying hate white people men straight funny quirky oh god,0
forever lean stripper pole bitch nigger purple sprite,1
user want know hate heart,0
user say queer man woman gay etc queer actually stipulation identifying queer become divorced sexuality though im fan singer done nothing wrong aesthetic choice happy,0
nigger suck white dick faggot,1
user user make even despicable woman raped usually opposed rape would callously wish rape another woman,0
free speech thing anymore online say cunt cunt twitter,0
user user people used use word gay faggot retard casually view crime bill capital punishment marijuana marriage equality changing warren changed enlightenment military spending partisan problem feel free answer original question,0
number kike company started see agenda going,1
father uncle came uk number sexually assaulted number paki muslim men number walking street wife young child walking father uncle sajid javid eh,0
city erea nigger ofcourse,1
many unemployed moslem uk percent work train able start curry house moslem country deported,0
khan suck shit syphilitic dick moslem pedo brother uk cop lick mess never rotherham rochdale rape jihad sharia creep islamo facism white genocide christiangenocide never islam word,1
subaru actually marketed xena warrior princess lesbian show research showed dyke drove subaru,1
much sex semen gulping mohammedan stone queer death mohammedan throw queer tall building queer ignorant want fly like superman,1
apple orange said liked paki loved nigger enjoyed watching show hypocrisy,1
whats disgusting mudshark following,1
last week ate new hipster bbq restaurant heard god awful nigger noise ever blaring speaker turned apparently pass country music day fuck happened,1
full blown gas kike nazi otoya yamaguchi top number nationalist hero,1
user user user user user agree khaleel criticism white asian black white grouping somewhat substantiated group barely internally related wrt black take nilosaharans bantu asian take malay han chinese,0
user hell man white devil,1
god bless republican party ban christian including queer tolerance banning christian sin cpac longer christian,1
iranian regime mosque home town thousand mile tehran controlled revolutionary guard let persian kike fool,1
major reason moslem commit murder etc way book say entry heaven guaranteed recently opened woman previously forbidden,1
oprah affirmative action piece shit fat as nigger bitch,1
user matter great leader country bobama killary want jihad muslimes throught world genocide plan job food death,1
compliment compliment sexy turn one look know queer,1
ask jim steal pop socket target told get scooter act retarded,1
liberal votewhoring puke enabling moslem invasion since p e trudeau cult biling policy allowed quebec fast track immigrant france former colony n africa nd gen moslem terror aka number montreal massacre happened much since,1
took one million refugee bring dark side european politics unsettle moderate government really think room nigerian western city percent u cope one way forward fix place,0
since jew tried exterminate white seems right every single jewish girl nigger first night say jew lie synagogue satan,1
morning faggot men sexualsundays letshavesex findom double dd cashfagsuk kik session user findom,1
many time tell latina race lol saying nigga hard af ig said said mean latina said white lmao,0
user user maybe could refugee take refugee keep cage gulag,0
user self isolated homosexual sun pub type moon war queer rising,0
battery life iphone fucking joke listening spotify work percent,0
user dude kill trying hard rest best medicine,0
chimp virgin nigger spell australian ebonics text oz instead,1
chan humour mexican nigger arr car driving cop,1
hard understand canadian asian arm calling moslem pedophile asian,1
good night family god bless remember every muscum want u dead god savior ha foretold matter accepting war yet sit screen love ya god bless,1
naturalization early america limited primarily formed western civilization especially since problem muzzies tripoli way life informed universal principle declaration,1
president trump recieve kike netanyahu either acknowledge israel country either exterminate jew well,1
user user one stand illegal immigrant trying target muslim immigrant mean illegal immigrant illegal immigrant exclude one community show much hate muslim india,0
remember kid gay act straight school gonna get called fag queer happened today,0
user user user jew assisted nazi slave assisted slave master mexican assist white people treating like animal,0
user one enough defend right early mid twenty white asshole new blue think paint ceiling blue nail file,0
literally told walk as around court like tf trying walk middle court leave gym white bitch nerve keep looking like problem,1
user user rip bird,0
love daughter doubt endangers grandkids yet yid marries daughter doubt accidentally yid prepared stub trump inside knew opposition preparing last number year overthrow order think daughter would cave,1
moon guy he one chan gook lover,1
number number salute brother truth nothing truth enjoy let develop brain use kike government,1
surprised twitter promote nigger made twitter cuck right last minute bitch,1
never say fag faggot ever poof,0
hbd nigger,0
stupid think relationship would give form relief giving seek n shutting already going pursue chase cu woman,0
user dusty retarded gr,0
user tired people want literally kill u petty making fun asexual people,0
user user black dude wearing von dutch hat room full white men hell yeah cocaine,0
user ah honestly say ave never deep fried mar bar prefer nice deep fried faggot chippies,0
user user user non muslim living neighbouring muslim country persecuted given refuge refugee definition two type political persecution religious persecution muslim illegal immigrant refugee,0
need nigger control,1
user user user omg actually said shit disgusting get mad call white supremacist,0
two thing racialist dont grasp racialism stop racial border applies within race individual subgroup one naive government capacity nigger capacity,1
number week ban wot game chat ban saying want throw mother oven shitskin,1
taiwan call unintentional blunder first reported unimaginative lardass punditry washington post yeah know reporting call coordinated time first message sent chicoms new sheriff town,0
deserved race mixing look like quadroon tho either way another nigger made good bad baby lived,1
boy scout girl scout really good american youth brownie girl club girl scout mess success let damned queer ruin land,1
pussy would better anne coulter laura ingrahm would good talk nasty breeding give laura proper white baby talk hatred nigger anne coulter,1
user jihadi funded money hell trying say,0
vaped holocaust museum get caught gr baby laugh joaquen phoenix joker,0
sorry mate comment aimed self professed kike killer,1
user love poor racist white trash elect president nothing work anyoneelse,1
fuck hell new orleans nothing nigger faggot nigger faggot trannies freak fucking nigger,1
